Order ID,Order Date,Cost,Price,Order Qty,Sales,ChannelKey,PromotionKey,ProductKey,ProductSubCategoryKey,StateID
1618,28/6/2012,124.657057,248,12,1495.884684,4,3,663,10,14
432,17/11/2012,271.3645277,299.9,4,1085.458111,1,10,197,15,9
905,22/4/2012,267.1351772,299.9,10,2671.351772,1,1,197,15,2
7263,2/10/2012,38.38022681,299,10,383.8022681,1,1,294,5,16
7702,13/12/2011,188.2912786,299,8,1506.330229,1,10,294,5,8
712,9/2/2013,81.07279012,299,9,729.6551111,1,2,294,5,26
7267,19/12/2011,4.584928666,9.99,4,18.33971466,1,2,1639,3,23
445,27/7/2012,6.570531155,9.99,5,32.85265578,2,1,1639,3,1
7568,1/9/2013,307.9611978,549,24,7391.068747,2,3,200,15,30
7269,10/4/2012,166.8174084,230,10,1668.174084,1,1,1485,8,20
402,31/3/2012,202.9338164,230,12,2435.205796,1,8,1485,8,9
1270,13/4/2014,55.47215302,230,20,1109.44306,3,1,1485,8,9
7271,4/8/2014,166.7355551,178,24,4001.653323,1,3,1237,7,13
7597,24/4/2012,108.6195985,178,6,651.7175913,4,7,1237,7,36
947,4/1/2014,154.0336468,178,18,2772.605642,2,2,1237,7,17
46,6/2/2014,33.24878808,689,18,598.4781855,4,2,202,15,20
232,9/12/2012,548.0347346,689,9,4932.312612,1,2,202,15,1
304,21/7/2012,379.0779145,689,10,3790.779145,4,1,202,15,10
7273,2/4/2012,136.3752318,499,18,2454.754173,4,6,580,12,32
206,9/7/2014,185.226451,799,10,1852.26451,4,1,203,15,16
1001,16/10/2012,163.5139925,799,8,1308.11194,1,10,203,15,34
7274,25/5/2013,122.0836678,326,10,1220.836678,1,1,379,6,4
614,24/4/2012,115.8929262,326,5,579.464631,2,1,379,6,32
1748,30/11/2012,230.1484108,326,6,1380.890465,1,4,379,6,24
7276,28/10/2013,1.633226477,13.9,13,21.2319442,1,4,777,18,15
7673,17/5/2014,2.54708656,13.9,20,50.94173121,3,1,777,18,28
1161,27/4/2013,5.576924033,13.9,10,55.76924033,1,1,777,18,28
1171,1/9/2013,11.96091056,13.9,12,143.5309267,2,3,777,18,33
43,26/1/2013,207.9934914,599,9,1871.941422,1,2,205,15,33
421,29/7/2013,236.8639054,599,12,2842.366865,4,3,205,15,12
1530,22/3/2013,126.4390528,569,10,1264.390528,1,1,206,15,12
7283,11/9/2014,71.95317328,199,16,1151.250772,1,10,288,15,1
45,27/2/2014,148.7670882,579,9,1338.903793,1,2,207,15,22
7284,13/10/2013,92.76943375,269.9,26,2412.005278,4,5,442,17,14
7287,30/10/2012,327.2916247,699,24,7854.998992,2,10,363,6,22
30,24/11/2013,530.7448924,699,13,6899.683601,1,5,363,6,25
1381,9/2/2013,146.5756458,699,12,1758.907749,1,8,363,6,7
1480,1/9/2014,565.491341,699,12,6785.896092,1,3,363,6,13
7288,13/1/2013,2.110867208,22.99,9,18.99780487,1,6,1348,16,34
604,5/5/2012,11.73887833,22.99,10,117.3887833,2,1,1348,16,24
1349,10/1/2012,12.25012817,22.99,9,110.2511535,1,2,1348,16,26
7289,17/1/2013,4.150169131,42.99,12,49.80202957,2,8,1326,16,5
7291,26/6/2013,49.75261671,699,10,497.5261671,4,1,403,6,34
868,9/7/2012,147.3277734,299.9,5,736.638867,1,1,213,15,19
1769,22/7/2012,77.75344128,299.9,5,388.7672064,1,1,213,15,20
7294,8/12/2011,125.0583776,259.99,13,1625.758908,4,5,1654,3,10
1603,29/4/2014,75.39075088,259.99,20,1507.815018,3,1,1654,3,13
7296,8/12/2012,66.46595363,369,8,531.7276291,4,10,322,5,11
7624,10/8/2012,325.8376181,369,36,11730.15425,3,3,322,5,24
383,22/6/2012,279.2864863,369,12,3351.437836,1,3,322,5,15
7435,22/7/2013,98.41626862,569,12,1180.995223,1,3,215,15,26
7300,25/8/2013,61.33146149,599,12,735.9775379,4,3,407,6,27
7330,2/2/2014,1.264691832,599,9,11.38222649,1,2,407,6,5
470,26/11/2013,122.7005573,599,13,1595.107244,3,4,407,6,33
1107,24/12/2013,261.2482806,599,13,3396.227648,1,5,407,6,2
7301,8/10/2013,134.0059219,268,26,3484.153969,2,5,1005,13,36
826,5/3/2014,50.40728535,268,9,453.6655682,1,2,1005,13,13
7302,13/8/2012,34.95104844,279,5,174.7552422,1,1,295,5,31
859,19/1/2014,103.9002349,279,18,1870.204229,1,2,295,5,8
7575,10/11/2012,214.4242034,689,13,2787.514644,1,4,218,15,29
1133,26/7/2014,543.5930994,689,10,5435.930994,1,1,218,15,1
7304,2/12/2012,214.5423583,330,8,1716.338867,1,10,1524,8,22
1144,28/8/2013,11.20657264,330,12,134.4788716,1,3,1524,8,25
7305,19/3/2013,42.99845838,139,9,386.9861255,1,6,561,12,14
7306,30/5/2014,171.1189823,199,40,6844.759291,2,1,299,5,4
7307,1/11/2014,2.634697265,279,26,68.50212889,1,4,327,5,6
456,17/11/2012,326.0300238,579,8,2608.240191,2,10,223,15,29
7308,23/12/2011,308.9141526,568,36,11120.9095,3,2,1089,1,21
7553,10/7/2014,267.565882,599,12,3210.790584,1,3,224,15,19
800,21/7/2014,482.4561935,599,12,5789.474323,1,3,224,15,21
7309,31/1/2012,25.73194382,29.9,4,102.9277753,1,2,819,18,32
7645,4/10/2012,111.4598695,699,10,1114.598695,1,1,225,15,29
7310,26/1/2014,81.64565697,129,18,1469.621825,4,2,1014,13,15
316,1/3/2013,243.3360288,299,9,2190.024259,1,2,226,15,29
7311,13/3/2012,15.76510946,49.99,5,78.82554729,1,1,1249,22,35
472,23/5/2012,9.226621058,49.99,5,46.13310529,1,1,1249,22,19
934,21/4/2014,16.89841416,49.99,48,811.1238795,2,7,1249,22,20
7312,16/4/2012,16.3416168,42.99,10,163.416168,1,1,1392,16,26
7313,9/8/2012,19.64897336,268,9,176.8407602,1,9,991,13,18
1595,23/12/2011,95.84164131,268,9,862.5747717,4,2,991,13,24
7318,30/12/2011,42.15255098,186.9,9,379.3729589,1,2,982,13,28
7353,1/9/2014,10.62600606,186.9,12,127.5120727,2,3,982,13,34
858,18/1/2013,61.91489914,186.9,9,557.2340923,3,2,982,13,10
7319,21/2/2014,127.927705,2295,9,1151.349345,1,2,551,12,30
7320,30/3/2012,451.1821852,689,24,10828.37244,2,8,234,15,20
7732,30/5/2012,409.5050254,689,10,4095.050254,1,1,234,15,12
633,20/3/2012,518.8714549,689,10,5188.714549,3,1,234,15,12
1426,25/8/2012,176.3135924,689,12,2115.763109,1,3,234,15,19
7322,27/4/2012,133.6103746,200,5,668.0518729,1,1,1458,20,13
7323,9/9/2012,204.7917269,280,20,4095.834538,1,1,1550,8,23
1510,13/4/2012,105.1832854,280,24,2524.39885,4,7,1550,8,21
1720,8/5/2013,289.2984986,599,10,2892.984986,2,1,237,15,25
7325,6/9/2014,8.89439102,22.89,10,88.9439102,4,1,1640,3,37
517,14/6/2013,15.09696361,22.89,12,181.1635633,1,3,1640,3,15
1454,25/3/2012,4.20610988,22.89,9,37.85498892,2,6,1640,3,36
1487,20/9/2013,9.912511173,22.89,10,99.12511173,1,1,1640,3,15
7326,26/9/2013,63.20033014,259.99,8,505.6026411,4,10,1649,3,29
1206,18/9/2013,200.9332381,299,10,2009.332381,2,1,240,15,10
1372,7/6/2012,238.8527988,299,6,1433.116793,1,3,240,15,2
7328,13/12/2011,213.7722586,301,13,2779.039362,1,5,1439,20,37
7422,6/1/2013,244.975376,301,9,2204.778384,1,2,1439,20,33
1678,7/2/2013,536.9065037,889,12,6442.878044,1,8,242,15,29
7329,10/12/2011,0.43560915,22.99,13,5.662918951,1,5,1396,16,24
262,24/4/2012,18.38855224,22.99,12,220.6626269,4,7,1396,16,12
1368,27/5/2013,14.6279368,22.99,10,146.279368,1,1,1396,16,35
88,1/9/2012,117.203474,409,12,1406.441688,1,3,243,15,4
970,5/9/2014,170.0771906,409,8,1360.617525,1,10,243,15,23
7406,23/8/2012,207.0559374,429,12,2484.671249,1,3,244,15,23
7331,28/12/2012,249.5458723,819,16,3992.733957,2,10,517,14,16
549,22/5/2013,210.2339429,819,10,2102.339429,1,1,517,14,21
592,27/12/2013,93.56787735,819,9,842.1108962,1,2,517,14,6
1304,17/9/2012,270.5062044,819,8,2164.049635,1,10,517,14,11
7427,6/8/2014,219.219008,339,36,7891.884289,2,3,247,15,26
7334,13/4/2013,17.27029756,24.99,10,172.7029756,2,1,1285,22,16
494,30/7/2012,1.204185666,24.99,4,4.816742665,1,9,1285,22,27
957,12/5/2012,1.765327723,24.99,6,10.59196634,1,7,1285,22,12
1092,21/4/2013,14.00705174,24.99,10,140.0705174,1,1,1285,22,11
235,30/8/2012,265.3257116,399,9,2387.931404,1,9,248,15,6
7335,22/10/2014,477.224808,2295,6,2863.348848,1,4,587,12,9
7341,16/8/2014,1.991616915,12.99,20,39.8323383,1,1,1350,16,36
1098,21/12/2011,106.2768573,299,4,425.1074292,1,2,253,15,9
7342,18/10/2013,222.8137046,219.95,26,5793.156321,4,5,457,17,30
1470,5/1/2012,179.6824728,219.95,12,2156.189674,4,10,457,17,35
7343,19/1/2012,166.0615991,268,9,1494.554391,1,2,1428,20,13
643,2/10/2013,89.66998433,268,10,896.6998433,1,1,1428,20,28
1199,16/9/2013,45.06018591,889,10,450.6018591,3,1,255,15,12
7344,10/2/2012,125.686782,302,12,1508.241384,2,8,1564,8,9
7345,27/1/2014,273.193727,281,9,2458.743543,1,2,1035,13,29
1314,19/9/2012,342.9698907,429,10,3429.698907,1,1,257,15,31
7347,24/5/2012,14.21643525,16.5,10,142.1643525,1,1,781,18,15
809,11/7/2013,8.791374018,16.5,12,105.4964882,2,3,781,18,32
1386,7/8/2014,2.34832137,16.5,12,28.17985644,1,3,781,18,18
7350,24/3/2014,105.0955522,310,10,1050.955522,1,1,1521,8,11
350,2/5/2012,168.8135803,310,10,1688.135803,1,1,1521,8,30
465,17/4/2012,112.8283321,310,10,1128.283321,4,1,1521,8,20
483,7/5/2012,214.7591943,310,10,2147.591943,1,1,1521,8,36
958,14/7/2012,2.760307573,310,9,24.84276816,1,9,1521,8,31
1415,9/9/2012,47.18896114,310,10,471.8896114,1,1,1521,8,18
1054,30/1/2013,287.1988213,339,9,2584.789392,1,2,260,15,33
7351,18/9/2012,25.3935415,268,10,253.935415,1,1,1535,8,35
7352,23/4/2013,155.9229224,281,12,1871.075069,2,7,965,13,36
1668,30/8/2014,111.0289533,199,20,2220.579065,2,1,262,15,29
1701,14/3/2012,163.401615,199,5,817.0080752,1,1,262,15,2
7354,29/1/2012,27.45248419,46.99,9,247.0723577,1,2,1393,16,37
576,2/12/2012,8.549709461,46.99,8,68.39767568,4,10,1393,16,27
7554,28/9/2013,58.18573526,480,10,581.8573526,1,1,264,15,5
503,3/7/2014,279.0337973,480,10,2790.337973,4,1,264,15,25
7362,25/12/2012,169.4445368,269,9,1525.000831,1,2,313,5,3
7716,13/4/2013,212.0625736,269,10,2120.625736,4,1,313,5,11
718,30/11/2013,253.4261699,299,13,3294.540208,1,4,266,15,7
1257,16/7/2012,202.8286499,299,6,1216.9719,1,3,266,15,27
7365,9/1/2014,119.1649623,200,18,2144.969322,1,6,1424,20,10
351,2/12/2012,109.821981,200,6,658.9318861,1,4,1424,20,2
1581,11/1/2012,173.2692293,200,4,693.0769174,1,2,1424,20,19
1671,11/2/2013,26.26031776,200,9,236.3428599,1,2,1424,20,11
610,22/7/2012,135.3889532,329,10,1353.889532,1,1,267,15,20
1683,16/6/2013,80.44890604,329,12,965.3868725,1,3,267,15,31
7366,5/3/2012,20.74118953,28.99,10,207.4118953,1,1,1321,16,25
321,19/3/2012,7.444117829,28.99,10,74.44117829,1,1,1321,16,30
7368,24/1/2013,109.8209433,290,9,988.38849,1,2,1020,13,9
1554,17/12/2012,171.8767081,290,18,3093.780747,3,2,1020,13,9
640,29/4/2012,411.5262451,409,12,4938.314941,1,7,269,15,32
7499,8/5/2012,206.5470651,429,10,2065.470651,1,1,270,15,3
428,25/12/2011,255.2867861,429,9,2297.581075,1,2,270,15,11
7372,7/5/2012,14.51018752,269,5,72.55093762,2,1,329,5,29
1041,27/5/2012,166.2006644,269,5,831.0033221,3,1,329,5,29
7375,13/4/2013,55.23762639,59,10,552.3762639,1,1,501,14,9
112,21/9/2014,54.14528799,59,16,866.3246079,2,10,501,14,33
591,19/12/2012,11.93775825,59,9,107.4398242,1,2,501,14,28
7439,12/9/2013,34.2715531,339,10,342.715531,2,1,273,15,28
816,25/1/2014,3.343903244,339,9,30.09512919,1,2,273,15,19
1253,12/5/2013,82.70764581,339,12,992.4917497,1,7,273,15,16
1100,24/1/2014,160.4659924,399,9,1444.193932,2,2,274,15,29
1499,19/8/2012,325.1224269,399,12,3901.469123,1,3,274,15,4
7377,10/12/2011,13.54649068,19.9,4,54.18596272,1,2,766,18,28
2,17/1/2012,11.82527111,19.9,4,47.30108443,4,2,766,18,17
804,19/3/2014,9.950668713,19.9,18,179.1120368,1,6,766,18,23
7381,7/11/2012,233.8614414,300,13,3040.198739,1,4,1498,8,4
7433,13/8/2012,164.5534197,300,9,1480.980777,1,9,1498,8,18
912,7/11/2012,146.2742414,300,13,1901.565138,1,4,1498,8,30
7382,5/10/2012,143.5819964,231,26,3733.131906,2,4,971,13,1
413,23/11/2012,381.0311069,480,26,9906.808778,4,4,277,15,23
7383,3/11/2013,31.36641815,148,13,407.7634359,1,4,946,13,12
654,10/6/2014,288.7563578,360,10,2887.563578,1,1,278,15,23
7384,13/8/2013,55.621651,129,9,500.594859,1,9,856,18,35
1061,22/2/2014,186.6436751,299,18,3359.586151,1,6,279,15,35
7386,28/1/2012,127.8050424,129,4,511.2201698,1,2,1500,8,12
1405,19/9/2012,66.35313718,129,5,331.7656859,1,1,1500,8,2
7706,3/4/2014,178.3049875,329,10,1783.049875,1,1,280,15,27
7388,5/5/2013,103.4500211,299,12,1241.400253,2,7,1559,8,21
1513,14/8/2013,168.0374711,299,18,3024.674479,4,9,1559,8,27
7389,11/1/2012,277.1505851,588,12,3325.807021,1,8,1045,1,6
746,20/2/2012,169.2113446,588,12,2030.536136,4,8,1045,1,28
76,5/6/2014,239.1830077,429,12,2870.196092,1,3,283,15,15
348,23/3/2014,263.9643556,429,10,2639.643556,3,1,283,15,13
1348,25/8/2013,167.4148209,429,9,1506.733388,2,9,283,15,22
7392,18/4/2012,7.878681244,11.9,6,47.27208747,4,7,794,18,20
190,2/4/2014,202.3801168,489,9,1821.421051,2,6,284,15,28
7394,22/8/2012,61.76434643,198,12,741.1721572,1,3,984,13,14
239,19/10/2012,170.3684572,198,13,2214.789943,1,4,984,13,29
1563,6/4/2012,41.9689762,198,10,419.689762,1,1,984,13,6
852,27/2/2013,170.9344491,339,9,1538.410042,1,2,286,15,23
7395,11/3/2014,225.9834268,436.2,10,2259.834268,1,1,1125,1,24
708,4/8/2012,202.9359393,436.2,9,1826.423453,2,9,1125,1,13
7397,21/4/2012,79.84546528,179,10,798.4546528,1,1,468,14,29
7400,2/5/2013,119.5351479,200,12,1434.421774,1,7,1469,20,31
7402,30/5/2014,142.6345694,312,24,3423.229666,4,7,1054,1,16
880,13/12/2011,143.5316536,312,4,574.1266145,1,2,1054,1,13
7411,1/11/2013,450.0240082,819,13,5850.312106,1,4,340,6,11
196,14/3/2014,42.71564529,819,10,427.1564529,1,1,340,6,13
786,17/12/2013,639.3620367,819,8,5114.896294,1,10,340,6,30
1526,30/9/2013,40.66231707,259,8,325.2985365,1,10,296,5,13
1546,25/2/2014,22.25319896,259,18,400.5575813,1,2,296,5,19
7412,27/11/2013,719.8092704,880,8,5758.474163,1,10,1185,7,7
1520,28/8/2014,149.43991,269,24,3586.557839,1,3,297,5,16
1636,27/11/2013,4.291979641,269,13,55.79573533,1,4,297,5,2
7413,13/12/2013,171.0129459,679,13,2223.168296,1,5,520,14,35
7730,9/3/2012,85.92053755,309,10,859.2053755,1,1,298,5,9
1733,26/5/2012,201.3857778,309,10,2013.857778,1,1,298,5,37
7414,3/4/2012,2.399058675,289.99,10,23.99058675,1,1,1655,3,4
17,23/1/2013,97.90699324,289.99,9,881.1629391,1,2,1655,3,5
1400,11/11/2012,104.7510752,289.99,13,1361.763977,1,4,1655,3,2
7417,23/4/2013,429.8514952,890,10,4298.514952,1,1,1184,7,15
7735,7/11/2012,89.93087918,890,8,719.4470335,1,10,1184,7,5
7419,21/7/2014,1.695139792,35.99,9,15.25625813,4,9,1367,16,2
1479,26/3/2012,32.9419358,35.99,12,395.3032297,1,8,1367,16,28
132,24/11/2014,422.433376,869,6,2534.600256,1,4,303,5,24
7420,21/10/2013,138.6427471,230.9,13,1802.355713,1,4,852,18,9
1014,25/10/2012,452.1484608,699,13,5877.929991,1,4,304,5,1
1196,14/10/2013,84.78916774,699,13,1102.259181,1,4,304,5,18
1705,14/8/2012,624.2482968,699,9,5618.234672,1,9,304,5,23
7421,13/11/2013,9.557760694,13.5,8,76.46208556,2,10,813,18,21
385,21/8/2012,6.290537175,13.5,12,75.4864461,4,3,813,18,1
303,20/5/2012,212.0361303,329,10,2120.361303,1,1,305,5,36
7460,14/1/2012,73.67593931,369,12,884.1112717,2,8,307,5,23
7424,26/3/2012,745.2821157,860,10,7452.821157,1,1,1186,7,29
460,28/11/2013,275.8813491,860,8,2207.050793,4,10,1186,7,8
1330,27/2/2014,462.5454175,860,9,4162.908757,1,6,1186,7,3
1624,17/4/2012,604.6721588,860,10,6046.721588,1,1,1186,7,20
7425,6/12/2013,0.835680318,3.35,1040,869.107531,4,5,2517,19,1
1112,1/10/2013,3.285215955,3.35,200,657.0431909,3,1,2517,19,6
7633,13/1/2013,135.7874704,499,9,1222.087233,1,2,309,5,32
1004,1/3/2014,395.2171344,499,12,4742.605613,1,2,309,5,28
7429,6/10/2013,34.01883538,102,13,442.24486,1,4,909,18,26
901,9/9/2012,90.40175065,102,5,452.0087533,1,1,909,18,17
1224,26/8/2012,0.795730913,102,6,4.774385478,1,3,909,18,7
7431,24/10/2013,31.23870987,139,16,499.8193578,2,10,481,14,28
7432,9/2/2012,60.21215504,68,24,1445.091721,4,8,1306,22,6
1666,30/12/2011,3.081874519,68,9,27.73687067,1,2,1306,22,9
1410,7/12/2012,70.28079057,309,13,913.6502774,1,5,314,5,31
991,18/9/2012,40.3898733,199,5,201.9493665,1,1,315,5,25
7434,13/9/2012,87.43121419,600,20,1748.624284,2,1,1168,7,2
835,30/9/2012,295.2059755,600,10,2952.059755,1,1,1168,7,9
7558,18/10/2012,217.653844,319,13,2829.499972,1,4,317,5,7
1284,19/5/2012,90.01856104,319,10,900.1856104,1,1,317,5,28
1767,12/1/2013,75.99620992,319,9,683.9658893,1,2,317,5,31
7437,30/7/2014,854.4732296,999,9,7690.259066,1,9,566,12,2
7438,18/8/2013,26.7954651,29.9,10,267.954651,2,1,789,18,29
7671,14/6/2014,435.1830856,699,12,5222.197027,1,3,320,5,8
1183,23/3/2012,40.68510464,66,6,244.1106278,1,8,178,21,23
1195,3/7/2014,66.32652558,66,24,1591.836614,1,1,178,21,2
7236,4/11/2013,171.5686481,279,13,2230.392425,1,4,480,14,12
7527,27/12/2012,166.413874,279,9,1497.724866,1,2,480,14,30
7238,12/12/2013,519.263415,599,9,4673.370735,1,2,413,6,29
7239,25/1/2013,204.1426285,230,12,2449.711542,4,8,1515,8,15
7241,6/6/2013,56.3236651,116,12,675.8839812,1,3,709,10,16
53,23/3/2012,96.40055223,116,10,964.0055223,1,1,709,10,5
7242,28/12/2011,4.723944935,23,9,42.51550442,1,2,1346,16,34
1540,20/6/2012,14.5395706,23,12,174.4748472,1,3,1346,16,2
7243,23/1/2014,396.1414256,599,9,3565.272831,1,2,389,6,27
505,15/3/2014,57.15996348,599,10,571.5996348,1,1,389,6,11
1043,13/8/2014,17.08174278,599,9,153.735685,1,9,389,6,11
7247,1/8/2013,6.786537217,19.99,12,81.43844661,1,3,1256,22,37
7251,21/9/2013,95.28618723,139,10,952.8618723,1,1,632,12,5
238,15/10/2012,38.01316992,139,6,228.0790195,1,4,632,12,28
1280,14/4/2014,44.50723375,139,20,890.144675,3,1,632,12,17
7608,23/2/2013,60.52475891,126.9,9,544.7228302,1,6,189,21,29
22,2/2/2013,45.45092171,126.9,9,409.0582954,1,2,189,21,4
1357,17/1/2012,33.32768355,126.9,12,399.9322026,2,8,189,21,36
7253,14/6/2013,66.52657055,280,12,798.3188466,1,3,1568,8,31
118,13/4/2012,0.297633096,56.9,5,1.488165479,1,1,190,21,14
1430,31/5/2012,31.17524623,56.9,5,155.8762312,1,1,190,21,11
7254,5/5/2014,81.40870868,231,10,814.0870868,3,1,999,13,31
821,22/7/2013,50.50583355,66,12,606.0700027,1,3,191,21,10
7257,5/2/2014,17.55564517,329,9,158.0008065,1,6,337,5,20
7694,8/11/2014,479.6246082,599,8,3836.996865,2,10,192,15,7
757,12/2/2013,145.6543921,599,9,1310.889529,4,6,192,15,15
7258,1/1/2014,197.8600323,338,13,2572.18042,1,5,1067,1,3
68,2/3/2012,140.6638586,338,9,1265.974728,1,2,1067,1,8
7259,27/3/2012,62.31875786,129,10,623.1875786,2,1,712,10,27
7609,8/3/2012,12.05081562,129,9,108.4573406,4,6,712,10,17
7260,8/7/2012,72.41687763,199,6,434.5012658,1,3,275,15,23
7453,26/11/2014,259.3241731,639,13,3371.214251,1,4,195,15,12
7455,25/1/2012,241.0970144,269.9,8,1928.776115,2,2,196,15,3
583,17/5/2012,150.5676598,269.9,5,752.8382991,1,1,196,15,6
7262,10/8/2012,116.1224302,248,24,2786.938325,1,3,663,10,3
1652,31/1/2013,101.9285073,382.95,18,1834.713132,3,2,388,6,31
7683,15/6/2013,83.7264342,231,12,1004.71721,4,3,985,13,14
895,30/11/2012,83.98750834,231,16,1343.800133,4,10,985,13,15
7684,20/10/2014,235.5365383,619,26,6123.949997,2,4,519,14,31
19,20/6/2013,374.352682,619,12,4492.232184,1,1,519,14,8
558,11/5/2014,338.3680456,619,10,3383.680456,1,1,519,14,34
110,27/7/2013,329.3394949,699,9,2964.055454,1,9,391,6,15
182,15/10/2012,139.8765994,699,8,1119.012796,1,10,391,6,17
