ProductKey,ProductName,Manufacturer,BrandName
1,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso
2,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso
3,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso
4,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso
5,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso
6,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso
7,Contoso 2G MP3 Player E200 Blue,"Contoso, Ltd",Contoso
8,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso
9,Contoso 4G MP3 Player E400 Black,"Contoso, Ltd",Contoso
10,Contoso 4G MP3 Player E400 Green,"Contoso, Ltd",Contoso
11,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso
12,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso
13,Contoso 4GB Flash MP3 Player E401 Black,"Contoso, Ltd",Contoso
14,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso
15,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,"Contoso, Ltd",Contoso
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,"Contoso, Ltd",Contoso
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,"Contoso, Ltd",Contoso
20,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Contoso
21,Contoso 8GB MP3 Player new model M820 Blue,"Contoso, Ltd",Contoso
22,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",Contoso
23,Contoso 8GB MP3 Player new model M820 White,"Contoso, Ltd",Contoso
24,Contoso 16GB Mp5 Player M1600 Blue,"Contoso, Ltd",Contoso
25,Contoso 16GB Mp5 Player M1600 Black,"Contoso, Ltd",Contoso
26,Contoso 16GB Mp5 Player M1600 Green,"Contoso, Ltd",Contoso
27,Contoso 16GB Mp5 Player M1600 White,"Contoso, Ltd",Contoso
28,Contoso 16GB Mp5 Player M1600 Red,"Contoso, Ltd",Contoso
29,Contoso 32GB Video MP3 Player M3200 White,"Contoso, Ltd",Contoso
30,Contoso 32GB Video MP3 Player M3200 Red,"Contoso, Ltd",Contoso
31,Contoso 32GB Video MP3 Player M3200 Orange,"Contoso, Ltd",Contoso
32,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",Contoso
33,Contoso 32GB Video MP3 Player M3200 Black,"Contoso, Ltd",Contoso
34,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",Contoso
35,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",Contoso
36,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",Contoso
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",Contoso
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",Contoso
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,"Contoso, Ltd",Contoso
41,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",Contoso
42,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",Contoso
43,Contoso 16GB New Generation MP5 Player M1650 Black,"Contoso, Ltd",Contoso
44,Contoso 16GB New Generation MP5 Player M1650 blue,"Contoso, Ltd",Contoso
45,Contoso 16GB New Generation MP5 Player M1650 Pink,"Contoso, Ltd",Contoso
46,WWI 1GB Pulse Smart pen E50 White,Wide World Importers,Wide World Importers
47,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Wide World Importers
48,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Wide World Importers
49,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,Wide World Importers
50,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,Wide World Importers
51,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers
52,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Wide World Importers
53,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Wide World Importers
54,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Wide World Importers
55,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Wide World Importers
56,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Wide World Importers
57,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Wide World Importers
58,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,Wide World Importers
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,Wide World Importers,Wide World Importers
60,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers
61,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Wide World Importers
62,WWI 2GB Spy Video Recorder Pen M300 White,Wide World Importers,Wide World Importers
63,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,Wide World Importers
64,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Wide World Importers
65,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Wide World Importers
66,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Northwind Traders
67,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Northwind Traders
68,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Northwind Traders
69,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Northwind Traders
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Northwind Traders
71,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Northwind Traders
72,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Northwind Traders
73,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,Northwind Traders
74,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Northwind Traders
75,NT Bluetooth Active Headphones E202 White,Northwind Traders,Northwind Traders
76,NT Bluetooth Active Headphones E202 Red,Northwind Traders,Northwind Traders
77,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Northwind Traders
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Northwind Traders
79,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,Northwind Traders
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Northwind Traders
81,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Northwind Traders
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Northwind Traders
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Northwind Traders
84,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Northwind Traders
85,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Northwind Traders
86,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Northwind Traders
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Northwind Traders
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Northwind Traders
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Northwind Traders
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Northwind Traders
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,Northwind Traders
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Northwind Traders,Northwind Traders
93,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Wide World Importers
94,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,Wide World Importers
95,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,Wide World Importers
96,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,Wide World Importers
97,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Wide World Importers
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Wide World Importers
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,Wide World Importers
100,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,Wide World Importers
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Wide World Importers
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Wide World Importers
104,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Wide World Importers
105,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Wide World Importers
106,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Wide World Importers
107,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,Wide World Importers
108,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,Wide World Importers
109,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Wide World Importers,Wide World Importers
110,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Wide World Importers
111,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Wide World Importers,Wide World Importers
112,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Wide World Importers
113,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,Wide World Importers
114,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Wide World Importers
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,Wide World Importers
116,"Adventure Works 20"" CRT TV E15 Silver",Adventure Works,Adventure Works 
117,"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Adventure Works
118,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works
