order_id,order_date,cost,price,order_qty,sales,year,month,quarter,dayofweek,dayofyear,dayofmonth,weekofyear,BrandNameEn,CategoryNameEn,ChannelNameEn
0,2014-08-07,389.25,799.58,45,17516.25,2014,8,3,3,219,7,32,10,1,2
1,2014-12-04,462.57,11.90,38,17577.66,2014,12,4,3,338,4,49,12,4,0
2,2015-04-19,172.30,990.04,18,3101.40,2015,4,2,6,109,19,16,6,1,0
3,2014-07-05,399.72,630.43,44,17587.68,2014,7,3,5,186,5,27,4,1,2
4,2015-03-15,499.34,736.42,44,21970.96,2015,3,1,6,74,15,11,11,3,1
5,2015-08-07,477.71,294.81,45,21496.95,2015,8,3,4,219,7,32,9,4,1
6,2015-09-24,12.25,160.77,20,245.00,2015,9,3,3,267,24,39,12,0,2
7,2014-08-25,149.02,934.33,43,6407.86,2014,8,3,0,237,25,35,11,1,2
8,2014-11-10,222.15,215.16,14,3110.10,2014,11,4,0,314,10,46,5,2,3
9,2015-03-27,42.60,338.17,46,1959.60,2015,3,1,4,86,27,13,12,4,0
10,2015-05-20,430.55,334.48,47,20235.85,2015,5,2,2,140,20,21,9,3,2
11,2015-05-24,59.81,801.49,31,1854.11,2015,5,2,6,144,24,21,7,5,3
12,2015-10-03,125.55,583.37,17,2134.35,2015,10,4,5,276,3,40,0,1,0
13,2015-02-07,332.16,541.58,43,14282.88,2015,2,1,5,38,7,6,0,2,0
14,2015-10-09,132.35,549.08,40,6423.56,2015,10,4,4,282,9,41,9,5,1
15,2015-02-18,1.85,861.08,6,3009.07,2015,2,1,2,49,18,8,0,2,3
16,2015-05-14,261.73,580.77,25,6543.25,2015,5,2,3,134,14,20,9,5,3
17,2014-09-17,259.65,642.34,29,7529.85,2014,9,3,2,260,17,38,4,4,1
18,2015-04-22,70.14,693.30,6,420.84,2015,4,2,2,112,22,17,10,2,3
19,2014-07-25,8.66,193.30,9,77.94,2014,7,3,4,206,25,30,10,2,2
20,2015-11-04,192.97,278.45,37,7139.89,2015,11,4,2,308,4,45,8,3,2
21,2014-11-02,171.03,80.09,34,5815.02,2014,11,4,6,306,2,44,5,4,3
22,2014-10-29,101.37,236.39,25,2534.25,2014,10,4,2,302,29,44,10,5,3
23,2015-09-10,77.74,868.64,39,3031.86,2015,9,3,3,253,10,37,7,0,2
24,2015-05-14,335.56,490.99,31,10402.36,2015,5,2,3,134,14,20,11,5,0
25,2015-01-21,290.00,316.27,45,13050.00,2015,1,1,2,21,21,4,10,0,3
26,2015-02-21,453.89,969.08,26,11801.14,2015,2,1,5,52,21,8,12,1,1
27,2015-07-02,168.85,444.86,39,6585.15,2015,7,3,3,183,2,27,10,3,2
28,2015-10-02,251.87,556.12,24,6044.88,2015,10,4,4,275,2,40,4,4,2
29,2015-01-22,355.45,355.02,30,10663.50,2015,1,1,3,22,22,4,5,2,1
30,2015-04-08,219.30,675.56,38,8333.40,2015,4,2,2,98,8,15,11,4,0
31,2015-04-09,76.84,528.74,45,3457.80,2015,4,2,3,99,9,15,12,2,1
32,2015-12-01,158.03,195.56,50,4835.24,2015,12,4,1,335,1,49,7,3,3
33,2015-06-14,136.66,82.13,12,1639.92,2015,6,2,6,165,14,24,3,5,1
34,2015-08-30,91.16,604.72,44,4011.04,2015,8,3,6,242,30,35,11,4,3
35,2015-01-12,136.56,1.52,34,4643.04,2015,1,1,0,12,12,3,6,5,3
36,2015-02-21,112.79,164.92,39,4398.81,2015,2,1,5,52,21,8,4,4,3
37,2014-06-04,437.56,844.25,40,17502.40,2014,6,2,2,155,4,23,4,5,2
38,2015-11-11,388.97,455.35,42,16336.74,2015,11,4,2,315,11,46,6,0,2
39,2015-02-05,439.22,275.61,16,7027.52,2015,2,1,3,36,5,6,12,0,3
40,2015-04-22,190.27,962.35,15,2854.05,2015,4,2,2,112,22,17,6,0,1
41,2015-09-29,380.62,971.69,11,4186.82,2015,9,3,1,272,29,40,6,1,3
42,2015-03-20,499.32,497.62,27,13481.64,2015,3,1,4,79,20,12,9,2,0
43,2014-10-28,127.54,90.98,9,1147.86,2014,10,4,1,301,28,44,4,4,1
44,2015-09-22,448.90,875.99,35,15711.50,2015,9,3,1,265,22,39,6,2,3
45,2014-08-27,212.97,910.95,28,5963.16,2014,8,3,2,239,27,35,7,3,2
46,2014-06-14,70.09,382.73,10,700.90,2014,6,2,5,165,14,24,2,3,3
47,2015-04-06,131.12,488.23,13,1704.56,2015,4,2,0,96,6,15,12,3,0
48,2015-08-10,188.61,580.63,33,6224.13,2015,8,3,0,222,10,33,4,3,0
49,2015-05-31,7.19,530.82,25,179.75,2015,5,2,6,151,31,22,2,1,0
50,2015-03-21,256.10,423.29,50,12805.00,2015,3,1,5,80,21,12,3,5,1
51,2014-06-02,229.63,351.55,5,1148.15,2014,6,2,0,153,2,23,5,0,0
52,2014-10-26,309.23,752.17,17,5256.91,2014,10,4,6,299,26,43,3,5,3
53,2015-02-28,15.42,943.42,3,46.26,2015,2,1,5,59,28,9,3,3,0
54,2014-09-07,103.40,728.88,11,1137.40,2014,9,3,6,250,7,36,7,1,2
55,2015-10-23,265.62,668.52,16,4249.92,2015,10,4,4,296,23,43,4,3,2
56,2014-11-15,348.50,260.15,40,13940.00,2014,11,4,5,319,15,46,12,0,0
57,2014-11-20,284.25,970.57,22,6253.50,2014,11,4,3,324,20,47,6,2,1
58,2015-03-07,20.58,467.09,41,6601.47,2015,3,1,5,66,7,10,7,3,3
59,2014-12-31,117.28,369.31,41,4808.48,2014,12,4,2,365,31,1,8,0,0
60,2015-04-18,32.64,670.73,40,1305.60,2015,4,2,5,108,18,16,7,0,0
61,2014-09-01,41.78,678.16,37,1545.86,2014,9,3,0,244,1,36,5,1,0
62,2015-10-15,496.21,118.26,33,16374.93,2015,10,4,3,288,15,42,5,4,2
63,2015-06-01,178.06,108.77,12,2136.72,2015,6,2,0,152,1,23,6,3,1
64,2014-11-23,81.54,95.33,28,2283.12,2014,11,4,6,327,23,47,4,4,3
65,2014-07-01,378.97,283.16,27,10232.19,2014,7,3,1,182,1,27,2,4,0
66,2014-11-14,10.85,263.66,40,434.00,2014,11,4,4,318,14,46,2,2,1
67,2014-09-16,77.95,239.15,31,2416.45,2014,9,3,1,259,16,38,2,4,0
68,2015-08-12,143.62,792.38,20,2872.40,2015,8,3,2,224,12,33,9,0,2
69,2015-07-14,225.25,301.58,19,4279.75,2015,7,3,1,195,14,29,4,1,0
70,2015-05-27,183.53,285.84,50,9176.50,2015,5,2,2,147,27,22,1,0,3
71,2015-05-06,38.77,908.21,22,852.94,2015,5,2,2,126,6,19,9,2,0
72,2015-04-05,97.68,547.22,17,1660.56,2015,4,2,6,95,5,14,5,0,0
73,2014-10-30,211.95,79.90,49,10385.55,2014,10,4,3,303,30,44,1,4,2
74,2015-06-14,393.69,385.78,34,13385.46,2015,6,2,6,165,14,24,7,3,1
75,2015-02-23,389.97,150.83,41,15988.77,2015,2,1,0,54,23,9,12,5,3
76,2014-11-22,455.93,286.86,45,20516.85,2014,11,4,5,326,22,47,9,1,3
77,2014-10-10,215.57,496.10,27,5820.39,2014,10,4,4,283,10,41,4,3,0
78,2014-11-04,144.29,975.64,50,7214.50,2014,11,4,1,308,4,45,1,2,0
79,2014-06-18,253.76,481.85,47,11926.72,2014,6,2,2,169,18,25,0,0,0
80,2015-05-03,474.21,822.33,2,948.42,2015,5,2,6,123,3,18,6,0,0
81,2015-07-21,154.45,163.18,9,1390.05,2015,7,3,1,202,21,30,11,1,0
82,2015-11-23,208.95,73.51,19,3970.05,2015,11,4,0,327,23,48,10,1,3
83,2014-06-21,78.92,191.43,22,1736.24,2014,6,2,5,172,21,25,2,3,0
84,2015-02-12,338.27,810.04,18,6088.86,2015,2,1,3,43,12,7,8,5,3
85,2015-08-20,255.80,334.70,39,9976.20,2015,8,3,3,232,20,34,12,5,3
86,2014-08-02,50.05,322.42,42,2102.10,2014,8,3,5,214,2,31,3,0,3
87,2014-06-29,307.73,467.84,27,8308.71,2014,6,2,6,180,29,26,2,2,3
88,2015-02-23,114.05,388.21,21,2395.05,2015,2,1,0,54,23,9,9,1,1
89,2015-10-07,30.92,574.90,2,61.84,2015,10,4,2,280,7,41,11,4,3
90,2015-08-23,487.33,89.36,46,22417.18,2015,8,3,6,235,23,34,9,1,0
91,2014-09-07,290.71,890.45,37,10756.27,2014,9,3,6,250,7,36,8,2,1
92,2014-10-09,342.95,735.05,28,9602.60,2014,10,4,3,282,9,41,8,0,3
93,2015-02-20,447.59,515.88,50,22379.50,2015,2,1,4,51,20,8,7,4,2
94,2014-12-20,229.32,982.31,12,2751.84,2014,12,4,5,354,20,51,2,4,3
95,2014-08-28,73.27,177.47,50,3663.50,2014,8,3,3,240,28,35,0,3,3
96,2014-07-18,331.93,76.97,35,11617.55,2014,7,3,4,199,18,29,4,4,0
