id,disp_id,type,issued
1,9,gold,10/16/1998
2,19,classic,3/13/1998
3,41,gold,9/3/1995
4,42,classic,11/26/1998
5,51,junior,4/24/1995
7,56,classic,6/11/1998
8,60,junior,5/20/1998
9,76,classic,10/25/1997
10,77,classic,12/7/1996
11,79,gold,10/25/1997
12,83,junior,9/11/1996
13,87,classic,6/29/1994
14,112,classic,2/17/1996
15,114,classic,3/5/1995
16,116,classic,6/23/1998
17,127,classic,6/7/1998
18,128,classic,8/25/1995
19,130,classic,9/9/1997
20,131,classic,12/2/1998
21,132,classic,2/26/1998
22,138,classic,1/11/1997
23,146,classic,10/3/1998
24,153,junior,8/5/1996
25,158,classic,12/6/1997
26,161,classic,9/14/1998
27,167,junior,11/15/1998
28,174,junior,1/22/1998
29,192,classic,8/20/1998
30,202,classic,10/1/1997
31,208,classic,10/21/1998
32,219,classic,8/6/1998
33,221,junior,12/3/1997
34,225,classic,3/20/1998
35,231,classic,10/7/1998
36,236,classic,9/28/1998
37,238,classic,4/20/1996
38,242,classic,8/31/1996
39,254,classic,7/14/1998
40,255,classic,10/13/1996
41,256,classic,8/31/1997
42,264,junior,7/28/1998
43,267,classic,8/29/1997
44,268,junior,5/17/1996
45,272,classic,12/5/1997
46,273,classic,11/10/1998
47,280,classic,8/13/1998
48,295,classic,3/10/1998
49,305,classic,10/3/1997
50,309,classic,5/28/1997
51,321,classic,11/21/1997
52,326,gold,4/10/1998
53,333,classic,10/13/1998
54,334,classic,1/24/1997
55,335,classic,1/25/1998
56,339,classic,11/22/1998
57,347,classic,11/9/1996
58,358,classic,3/11/1998
59,365,classic,10/27/1997
60,370,classic,10/18/1998
61,374,classic,10/18/1998
63,378,junior,3/27/1998
64,402,classic,5/10/1998
65,414,classic,2/2/1998
66,425,classic,7/8/1998
67,429,junior,1/28/1998
68,434,classic,1/31/1998
69,438,classic,5/17/1997
70,439,classic,2/8/1994
71,441,classic,4/11/1998
72,447,classic,3/9/1998
73,451,junior,7/21/1998
74,453,classic,10/18/1998
75,457,classic,7/29/1997
76,464,classic,12/23/1998
77,466,classic,8/13/1998
78,468,classic,8/4/1998
79,469,classic,9/2/1998
80,471,classic,6/25/1998
81,473,classic,12/17/1997
82,474,classic,5/7/1997
83,483,classic,1/5/1998
84,487,classic,6/26/1996
85,489,classic,12/31/1995
86,490,classic,11/28/1997
87,493,classic,11/2/1996
88,496,classic,11/4/1996
89,497,classic,4/22/1998
90,503,classic,6/4/1997
91,504,junior,9/1/1997
92,508,classic,11/20/1995
93,510,classic,11/9/1997
94,513,classic,11/6/1997
95,519,junior,8/1/1998
96,528,classic,8/26/1998
97,531,junior,9/19/1995
98,537,classic,9/6/1995
99,548,gold,10/9/1996
100,562,gold,2/21/1998
101,566,classic,6/19/1998
102,575,classic,11/12/1998
103,584,junior,8/17/1996
104,588,classic,1/19/1994
105,590,classic,1/17/1997
106,592,classic,1/14/1996
107,593,classic,6/27/1995
108,597,classic,6/25/1997
109,605,classic,4/26/1998
110,608,classic,5/31/1997
111,615,classic,6/5/1998
112,626,junior,1/19/1997
113,629,junior,11/16/1995
115,638,classic,7/30/1997
116,646,classic,10/11/1998
117,649,junior,11/23/1996
118,652,classic,10/22/1995
119,655,classic,8/8/1996
120,662,classic,7/3/1997
121,666,junior,7/22/1996
122,667,junior,7/3/1997
123,679,classic,6/12/1998
124,688,classic,10/10/1997
125,694,gold,12/26/1998
126,707,classic,5/23/1998
127,714,classic,5/23/1996
128,716,classic,8/19/1998
129,719,classic,11/5/1998
130,722,classic,12/29/1997
131,725,classic,12/8/1998
132,731,junior,2/26/1998
133,742,classic,6/16/1997
134,769,classic,9/7/1998
136,778,classic,7/28/1995
137,786,junior,1/10/1997
138,791,classic,11/2/1998
139,797,classic,7/14/1997
140,798,classic,8/22/1997
141,808,classic,9/15/1998
142,810,classic,7/1/1998
143,816,classic,6/15/1998
145,819,classic,6/17/1997
146,822,classic,7/23/1998
147,826,junior,12/13/1998
148,834,classic,11/22/1998
149,858,classic,1/7/1998
150,859,classic,3/30/1996
151,861,classic,9/16/1998
152,876,classic,9/16/1996
153,886,gold,10/19/1997
154,887,classic,12/28/1997
155,900,junior,5/17/1997
156,906,junior,4/7/1998
157,907,classic,4/24/1996
158,928,gold,10/25/1998
159,946,classic,5/1/1995
160,954,classic,6/17/1998
161,963,classic,5/25/1998
162,967,junior,12/23/1996
163,984,classic,9/18/1996
